biome * ffffff ffffff ffffff
biome 0 ffffff 65a064 66a764
biome 1 ffffff 73ae5b 86b55b
biome 2 ffffff cabb6e cabb6e
biome 3 ffffff 7eb186 7fb888
biome 4 ffffff 5ea055 66a754
biome 5 ffffff 77ac7f 79b27e
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 65a064 66a764
biome 8 ffffff cabb6e cabb6e
biome 9 ffffff 65a064 66a764
biome 10 ffffff 85b791 87c090
biome 11 ffffff 85b791 87c090
biome 12 ffffff 85b791 87c090
biome 13 ffffff 85b791 87c090
biome 14 ffffff 5eb54c 74be49
biome 15 ffffff 5eb54c 74be49
biome 16 ffffff 73ae5b 86b55b
biome 17 ffffff cabb6e cabb6e
biome 18 ffffff 5ea055 66a754
biome 19 ffffff 77ac7f 79b27e
biome 20 ffffff 7eb186 7fb888
biome 21 ffffff 61b84d 7ac14a
biome 22 ffffff 61b84d 7ac14a
biome 23 ffffff 64b850 7cc14d
biome 24 ffffff 65a064 66a764
biome 25 ffffff 7eb186 7fb888
biome 26 ffffff 84b690 86bf91
biome 27 ffffff 619e5d 63a55c
biome 28 ffffff 619e5d 63a55c
biome 29 ffffff 354f1c 66a754
biome 30 ffffff 85b791 87c090
biome 31 ffffff 85b791 87c090
biome 32 ffffff 73a878 74ae7b
biome 33 ffffff 73a878 74ae7b
biome 34 ffffff 7eb186 7fb888
biome 35 ffffff cabb6e cabb6e
biome 36 ffffff cabb6e cabb6e
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 85b791 87c090
biome 41 ffffff 65a064 66a764
biome 42 ffffff 5c9f53 64a752
biome 43 ffffff 85b791 87c090
biome 44 ffffff 5fbb4a 79c447
biome 45 24b01c 61b84d 7ac14a
biome 46 ffffff cabb6e cabb6e
biome 47 ffffff cabb6e cabb6e
biome 48 ffffff 85b791 87c090
biome 49 ffffff 6ba36e 6baa72
biome 50 184220 314d31 314d31
biome 51 1b3944 314d31 314d31
biome 52 1b3944 314d31 314d31
biome 53 184220 314d31 314d31
biome 54 485e18 314d31 314d31
biome 55 485e18 314d31 314d31
biome 56 3a2f0b 314d31 314d31
biome 57 ffffff 84d168 67ce52
biome 58 ffffff 7dd671 98ef56
biome 59 ffffff 5c9a58 609f57
biome 60 ffffff 85b791 87c090
biome 61 ffffff c2c16c c5c26c
biome 62 ffffff 6aa16e 6aa872
biome 63 ffffff 61b84d 7ac14a
biome 64 ffffff 5dab4f 6cb14c
biome 65 ffffff 6aa16e 6aa872
biome 66 ffffff 85b791 87c090
biome 67 ffffff 5ea055 66a754
biome 68 ffffff ccc46c a3bc62
biome 69 f08000 cabb6e cabb6e
biome 70 ffffff 73ae5b 86b55b
biome 71 ffffff 3e5751 425a51
biome 72 ffffff 554114 e94e14
biome 73 ffffff 5dab4f 6cb14c
biome 74 ffffff 65a03f 66a73f
biome 75 6c2c2c 572e23 64260f
biome 76 ffffff 85b791 87c090
biome 77 ffffff 6aa16e 6aa872
biome 78 ffffff 77ad7e 79b47f
biome 79 ffffff 5a9c53 5fa352
biome 80 ffffff 5d995c 5d9e5b
biome 81 ffffff 60aa52 6fb051
biome 82 ffffff bdbb6b c0bb6b
biome 83 ffffff 81b48a 82bb8a
biome 84 ffffff 5d995c 5d9e5b
biome 85 e0ffae 565c4f 5c5f4e
biome 86 ffffff 77ad7e 79b47f
biome 87 ffffff 65a064 66a764
biome 88 ffffff 5ea055 66a754
biome 89 ffffff 85b791 87c090
biome 90 ffffff 61b44f 78bd4c
biome 91 ffffff 61b44f 78bd4c
biome 92 ffffff 60a057 69a756
biome 93 ffffff 629d61 62a461
biome 94 ffffff 51eaec a0b663
biome 95 ffffff 629d61 62a461
biome 96 ffffff 676f1f 676f1f
biome 98 ffffff 5ea055 66a754
biome 99 ffffff 028500 028500
biome 100 ffffff e2cda5 e2cda5
biome 102 ffffff 6ba468 6cab68
biome 103 ffffff 6ba468 6cab68
biome 104 ffffff 6ba468 6cab68
biome 105 ffffff ccc46c a3bc62
biome 109 ffffff 65a064 66a764
biome 110 ffffff 65a064 66a764
biome 111 ffffff bec44c b3c442
biome 112 ffffff c6ff54 c6ff54
biome 113 ffffff 74bf26 74bf26
biome 114 ffffff 4e8833 4e8833
biome 115 5c5835 314d31 314d31
biome 116 ffffff b6b957 a3a52d
biome 117 ffffff c1b668 c1b668
biome 118 ffffff 53ca37 29bc05
biome 119 ffffff a6bb4e 91a922
biome 122 2e535f 404840 405340
biome 123 0077ee 55ff81 66ffc5
biome 124 cc1188 6d4189 7c6d87
biome 126 ffffff 65a064 66a764
biome 127 ffffff cabb6e cabb6e
biome 129 ffffff 73ae5b 86b55b
biome 130 ffffff cabb6e cabb6e
biome 131 ffffff 7eb186 7fb888
biome 132 ffffff 5ea055 66a754
biome 133 ffffff 77ac7f 79b27e
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 85b791 87c090
biome 141 ffffff 85b791 87c090
biome 142 ffffff aa8a4e b5a353
biome 143 ffffff a3e053 a3e053
biome 144 ffd932 8baf6b b0e088
biome 145 ffffff d8935f dae579
biome 146 ffffff cabb6e cabb6e
biome 147 ffffff 9fb771 c9ce65
biome 148 ffffff c9c17f b2c67f
biome 149 ffffff a9ba64 a9ba64
biome 150 ffffff a9ba64 a9ba64
biome 151 ffffff c0d85d 77b156
biome 152 ffffff a3ffaa a3ffaa
biome 153 ffffff 65a064 66a764
biome 154 ffffff 5f9a5e 5f9f5e
biome 155 ffffff cabb6e cabb6e
biome 156 0e6a35 cabb6e cabb6e
biome 157 ffffff bca165 bca165
biome 158 a2ad51 66704c 66704c
biome 159 ffffff ad8e41 afa248
biome 160 ffffff cabb6e cabb6e
biome 161 ffffff bac481 ceb979
biome 162 ffffff 70c441 70c441
biome 163 ffffff abd6bc abd6bc
biome 164 00ff2e 57ed64 57ed64
biome 165 ffffff 74d374 66e266
biome 166 ffffff 85b791 87c090
biome 167 ffffff 7fdb7d 7fdb7d
biome 168 ffffff 609e58 75b569
biome 169 ffffff cec577 aec681
biome 170 ffffff 609b5f 61a05f
biome 171 ffffff 7ca568 8acc6a
biome 172 ffffff 5f9a5e 5f9f5e
biome 173 ffffff a1c36d a1c36d
biome 174 ffffff 74be57 94c456
biome 175 ffffff 5ea055 66a754
